HS,Name
8701,Tractors
8702,Buses
8703,Cars
8704,Delivery Trucks
8705,Specialized Vehicles
8706,Vehicle Chassis
8707,Vehicle Bodies
8708,Vehicle Parts
8709,Work Trucks
8710,Armored vehicles
8711,Motorcycles
8712,Bicycles
8713,Wheelchairs
8714,Bi-Wheel Vehicle Parts
8715,Baby Carriages
8716,Trailers
8801,Non-powered Aircraft
8802,"Planes, Helicopters, and/or Spacecraft"
8803,Aircraft Parts
8804,Parachutes
8805,Aircraft Launch Gear
8901,Passenger and Cargo Ships
8902,Fishing Ships
8903,Recreational Boats
8904,Tug Boats
8905,Special Purpose Ships
8906,Other Sea Vessels
8907,Other Floating Structures
8908,Scrap Vessels
9001,Optical Fibers
9002,Mirrors and Lenses
9003,Eyewear Frames
9004,Eyewear
9005,Binoculars and Telescopes
9006,Cameras
9007,Video Cameras
9008,Image Projectors
9009,Photocopiers
9010,Photo Lab Equipment
9011,Microscopes
9012,Non-optical Microscopes
9013,LCDs
9014,Compasses
9015,Surveying Equipment
9016,Balances
9017,Drafting Tools
9018,Medical Instruments
9019,Therapeutic Appliances
9020,Breathing Appliances
9021,Orthopedic Appliances
9022,X-Ray Equipment
9023,Instructional Models
9024,Tensile Testing Machines
9025,Hydrometers
9026,Gas and Liquid Flow Measuring Instruments
9027,Chemical Analysis Instruments
9028,Utility Meters
9029,Revolution Counters
9030,Oscilloscopes
9031,Other Measuring Instruments
9032,Thermostats
9033,Opto-Electric Instrument Parts
9101,Precious Metal Watches
9102,Base Metal Watches
9103,Clocks with Watch Movements
9104,Dashboard Clocks
9105,Other Clocks
9106,Time Recording Instruments
9107,Time Switches
9108,Watch Movements
9109,Clock Movements
9110,Incomplete Movement Sets
9111,Watch Cases and Parts
9112,Clock Cases and Parts
9113,Watch Straps
9114,Other Clocks and Watches
9201,Pianos
9202,String Instruments
9203,Pipe Organs
9204,Accordions
9205,Wind Instruments
9206,Percussion
9207,Electric Musical Instruments
9208,Other Musical Instruments
9209,Musical Instrument Parts
9301,Military Weapons
9302,Handguns
9303,Other Firearms
9304,"Spring, Air, and Gas Guns"
9305,Weapons Parts and Accessories
9306,Explosive Ammunition
9307,Bladed Weapons and Accessories
9401,Seats
9402,Medical Furniture
9403,Other Furniture
9404,Mattresses
9405,Light Fixtures
9406,Prefabricated Buildings
9501,Wheeled Toys
9502,Dolls
9503,Models and Stuffed Animals
9504,Video and Card Games
9505,Party Decorations
9506,Sports Equipment
9507,Fishing and Hunting Equipment
9508,Fairground Amusements
9601,Worked Ivory and Bone
9602,Vegetable and Mineral Carvings
9603,Brooms
9604,Hand Sifters
9605,Travel Kits
9606,Buttons
9607,Zippers
9608,Pens
9609,Pencils and Crayons
9610,Chalkboards
9611,Rubber Stamps
9612,Ink Ribbons
9613,Lighters
9614,Smoking Pipes
9615,Combs
9616,Scent Sprays
9617,Vacuum Flask
9618,Mannequins
9701,Paintings
9702,Prints
9703,Sculptures
9704,Revenue Stamps
9705,Collector's Items
9706,Antiques
9999,Unspecified
